Area,Perimeter,Convex Area,Solidity,Equivalent Diameter,Major Axis,Minor Axis,Eccentricity,Class
1456.5,281.5218585729599,2786.5,0.5226987260003588,43.0635971199198,45.90223693847656,79.85416412353516,(8.716542883371873e-17+1.4235194816073777j),0
1136.5,127.15432786941528,1159.0,0.9805867126833477,38.03993615388323,35.5789794921875,41.199058532714844,(3.575008557559394e-17+0.5838432044322419j),0
520.5,304.89444184303284,1437.5,0.3620869565217391,25.74337163299812,65.28264617919922,127.80900573730469,(1.0306149239447592e-16+1.6831219003917104j),0
207284.0,1746.3616013526917,208492.5,0.9942036284278811,513.7335747163927,446.98699951171875,598.8948974609375,(5.460312066462499e-17+0.891736633005399j),0
828.5,186.5512968301773,1122.0,0.7384135472370766,32.47890027099259,18.563322067260742,75.9903564453125,(2.430650774257775e-16+3.9695539578433365j),0
5284.5,1601.3494104146957,91218.5,0.057932327323952926,82.02703441032699,408.2989501953125,462.8288879394531,(3.268594457443975e-17+0.5338019843304531j),0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0j,0
2329.0,325.56348872184753,3918.5,0.5943600867678959,54.45525594181148,56.000160217285156,83.11371612548828,(6.715371633909027e-17+1.09670341499027j),0
377.0,145.7401144504547,472.0,0.798728813559322,21.909160375631842,8.132515907287598,78.65866088867188,(5.890725638925634e-16+9.620285037329925j),0
163.0,62.28427076339722,191.5,0.8511749347258486,14.406180819073164,8.946353912353516,29.100751876831055,(1.8953111141580687e-16+3.0952779454086814j),0
565.5,437.4041086435318,6839.0,0.08268752741628893,26.83313180655092,142.0017852783203,156.43153381347656,(2.8296979977987786e-17+0.4621247529930956j),0
52.0,35.31370830535889,57.0,0.9122807017543859,8.136857890256438,4.935081481933594,14.713624954223633,(1.7198500997016695e-16+2.8087283629844886j),0
52.0,35.31370830535889,57.0,0.9122807017543859,8.136857890256438,4.935081481933594,14.713624954223633,(1.7198500997016695e-16+2.8087283629844886j),0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0j,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0j,0
951.0,269.2792183160782,2162.0,0.4398704902867715,34.79728160421644,45.5879020690918,69.5040054321289,(7.046912098743547e-17+1.150848081855092j),0
4076.0,1063.1412588357925,39089.0,0.10427485993502009,72.03974170095644,396.5759582519531,415.5992736816406,(1.919209783571798e-17+0.3134307434450532j),0
1038.0,505.9310199022293,7685.5,0.13505952768199858,36.3541283410165,383.2227783203125,610.8941040039062,(7.601554852059298e-17+1.24142811745424j),0
204.0,139.88224947452545,322.0,0.6335403726708074,16.11647812414279,7.447428226470947,60.1240348815918,(4.905294499417027e-16+8.010953856789213j),0
8420.5,1391.7514315843582,57597.0,0.14619685053040957,103.54377618400073,430.7643127441406,558.028564453125,(5.042512906119415e-17+0.8235048521141294j),0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0j,0
9310.0,785.151361823082,12106.5,0.7690083839259901,108.87543415061253,96.2779769897461,143.43931579589844,(6.762334426127218e-17+1.1043730209943665j),0
1541.5,272.6934311389923,1961.5,0.7858781544736171,44.302356124807325,30.91576385498047,73.89852142333984,(1.3294078854571081e-16+2.1710878375425366j),0
168.5,112.26702654361725,204.0,0.8259803921568627,14.647213499088313,4.783851146697998,53.1860237121582,(6.780111056420989e-16+11.072761650365749j),0
52.0,35.31370830535889,57.0,0.9122807017543859,8.136857890256438,4.935081481933594,14.713624954223633,(1.7198500997016695e-16+2.8087283629844886j),0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0j,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0j,0
13.0,25.313708305358887,19.5,0.6666666666666666,4.068428945128219,2.419734239578247,11.310909271240234,(2.796006727096753e-16+4.566225509336148j),0
3273.5,1296.6143486499786,61187.0,0.05349992645496592,64.55965961566523,338.4089660644531,377.257080078125,(3.017026823769345e-17+0.49271787193987965j),0
5284.5,1601.3494104146957,91218.5,0.057932327323952926,82.02703441032699,408.2989501953125,462.8288879394531,(3.268594457443975e-17+0.5338019843304531j),0
582.5,190.1248905658722,1230.0,0.4735772357723577,27.233472690941056,42.835723876953125,52.31328201293945,(4.29264626322607e-17+0.7010423358334464j),0
800.0,184.8528118133545,1257.0,0.6364359586316627,31.915382432114615,34.889801025390625,43.31013107299805,(4.503499394322273e-17+0.7354772653564742j),0
140.0,67.4558435678482,198.0,0.7070707070707071,13.351162356249091,10.96674633026123,24.218061447143555,(1.205619157112133e-16+1.9689255023595897j),0
1779.0,296.33304142951965,3758.5,0.4733271251829187,47.59299475851309,70.16995239257812,96.09830474853516,(5.72956705361524e-17+0.9357093094277286j),0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0j,0
663.0,336.4163020849228,1917.0,0.3458528951486698,29.054394128245264,295.7835693359375,345.8688659667969,(3.7111786339375814e-17+0.6060814655329926j),0
1067.0,529.2447298765182,6336.5,0.1683894894657934,36.85846706297507,514.7362670898438,770.2530517578125,(6.816407775001107e-17+1.1132038690252497j),0
562.5,220.40916061401367,1422.5,0.3954305799648506,26.76186174229157,30.296154022216797,66.25260162353516,(1.190844583064441e-16+1.9447967918481532j),0
344.5,151.4385985136032,581.0,0.5929432013769363,20.94351983696302,11.158559799194336,56.64595413208008,(3.047526875423359e-16+4.976989083783448j),0
930.0,232.99494743347168,1459.0,0.6374228923920493,34.41093978088511,30.83074378967285,60.575355529785156,(1.0355917790444678e-16+1.6912497215776616j),0
